id,question,optionA,optionB,optionC,optionD,optionE,correct_answer
1,(SMILE [GUM] MUG) — (EXAM [ ? ] DAWN),DAD,MEN,WAX,END,ADD,C
2,(YOU [YOU] UPON) — (HOUSE [ ? ] GLUE),HUG,EGG,USE,LEG,SEE,A
3,(FELL [LOFT] TOKEN) — (LOST [ ? ] LEAF),LESS,SALE,TOLL,TELL,EASE,D
4,(ROOM [DRY] DRY) — (ADULT [ ? ] OAK),DOT,OLD,ADD,OAK,OUT,D
5,(YOGA [SHY] SIGH) — (DUE [ ? ] HUMAN),HAM,END,MEN,HAD,MUD,D
6,(ADOPT [DOT] STOOL) — (ASSET [ ? ] SPLIT),PET,SIP,TAP,ILL,PIE,B
7,(JEANS [RED] DRIFT) — (RAG [ ? ] REALM),EGG,EAR,ARM,AGE,RAG,B
8,(OVEN [NOON] SNOW) — (EVIL [ ? ] OWL),WELL,VIEW,LIVE,WILL,WOOL,A
9,(GRIEF [WIRE] RAW) — (SHOE [ ? ] NIGHT),GONE,SONG,THIN,SEEN,HOSE,A
10,(LAVA [BAD] DOUBT) — (LOGIC [ ? ] TIGHT),LOG,HIT,GOT,HOT,LOT,B
11,(ESSAY [SIR] ORBIT) — (SCREW [ ? ] STEAL),LAW,WET,SET,CAT,ATE,D
12,(FLOW [LOW] GLOW) — (HOBBY [ ? ] BLAST),TOY,SAT,LAB,BOY,HAT,C
13,(CAP [PIN] PANIC) — (TOPIC [ ? ] LOYAL),TAP,CAT,POT,OIL,PAY,E
14,(DIAL [HOLD] HOUR) — (LEGAL [ ? ] SENSE),LANE,SEAL,EASE,SEEN,LESS,B
15,(SMELL [MEN] EARN) — (USER [ ? ] HONEY),SHE,ONE,SUN,OUR,RUN,A
16,(YELL [DRY] DEER) — (BORE [ ? ] TRIAL),BET,RIB,TAB,TIE,LOT,C
17,(FORTH [FUR] RUST) — (CORD [ ? ] RAFT),CAT,ROD,CAR,ART,DOT,C
