id,question,Option A,Option B,Option C,Option D,Option E,correct answer,difficulty
LC_001,JL is to LN as YN is to [?],ME,BQ,AL,AP,WL,D,1
LC_002,RL is to TN as JV is to [?],FQ,HT,MY,LT,LX,E,1
LC_003,BO is to DP as OK is to [?],QJ,PM,MJ,QL,RM,D,1
LC_004,RA is to TC as MF is to [?],VM,OH,PI,OD,KD,B,1
LC_005,BQ is to DS as ET is to [?],HW,CR,MA,GR,GV,E,1
LC_006,WJ is to YL as GE is to [?],JH,IC,IG,EC,UV,C,1
LC_007,ZO is to BQ as UE is to [?],XH,SC,WG,WC,EP,C,1
LC_008,RD is to SE as NB is to [?],FT,OA,MA,PD,OC,E,1
LC_009,VD is to XF as JW is to [?],LY,MZ,HU,LU,PT,A,1
LC_010,ZL is to BM as SF is to [?],VH,UG,QE,UE,TH,B,1
LC_011,QK is to RL as FV is to [?],GU,HX,EU,GW,LM,D,1
LC_012,BS is to DU as EC is to [?],GA,ZW,GE,HF,CA,C,1
LC_013,WK is to XM as CZ is to [?],EC,DX,EA,DB,BX,D,1
LC_014,RO is to TQ as LI is to [?],AM,NG,JG,NK,OL,D,1
LC_015,LP is to MR as IL is to [?],JJ,KO,JN,KM,HJ,C,1
LC_016,TA is to UB as HH is to [?],IG,JJ,BK,II,GG,D,1
LC_017,XF is to YG as AA is to [?],SR,BZ,BB,ZZ,CC,C,1
LC_018,KM is to MO as UJ is to [?],WH,XM,WL,SH,GS,C,1
LC_019,DO is to FQ as XA is to [?],AD,ZY,BH,VY,ZC,E,1
LC_020,ZX is to AY as TB is to [?],VD,UA,SA,AR,UC,E,1
LC_021,VN is to WP as SV is to [?],RT,UY,UW,TX,TT,D,1
LC_022,EN is to FO as MZ is to [?],NA,FS,NY,LY,OB,A,1
LC_023,ZI is to AK as AN is to [?],CO,BP,BL,CQ,ZL,B,1
LC_024,KA is to LB as LJ is to [?],BA,MI,NL,KI,MK,E,1
LC_025,FV is to HW as OJ is to [?],QK,PL,RL,QI,MI,A,1
LC_026,ZO is to BQ as ZP is to [?],XN,CS,BG,BR,BN,D,1
LC_027,HZ is to IA as LN is to [?],MO,XJ,KM,NP,MM,A,1
