ID,Question,A,B,C,D,E,Correct Answer,Explanation
HW_148,Plus icky stuff on the floor.,Plus icky,icky stuff,stuff on,on the,the floor,A,The hidden word is SICK (pluS ICKy).
HW_166,Rich interest in the topic shown.,Rich interest,interest in,in the,the topic,topic shown,A,The hidden word is HINT (ricH INTerest).
HW_173,Keep art supplies safe at home.,Keep art,art supplies,supplies safe,safe at,at home,A,The hidden word is PART (keeP ART).
HW_176,Rich art collectors buy old paintings.,Rich art,art collectors,collectors buy,buy old,old paintings,A,The hidden word is HART (ricH ART).
HW_177,Your age is a big secret.,Your age,age is,is a,a big,big secret,A,The hidden word is RAGE (youR AGE).
HW_179,Slow agency work is very boring.,Slow agency,agency work,work is,is very,very boring,A,The hidden word is WAGE (sloW AGEncy).
HW_180,Plus agents were hired last week.,Plus agents,agents were,were hired,hired last,last week,A,The hidden word is SAGE (pluS AGEnts).
HW_181,Keep age in mind for now.,Keep age,age in,in mind,mind for,for now,A,The hidden word is PAGE (keeP AGE).
HW_185,Your ice cream is melting now.,Your ice,ice cream,cream is,is melting,melting now,A,The hidden word is RICE (youR ICE).
HW_187,Keep arms inside the blue bus.,Keep arms,arms inside,inside the,the blue,blue bus,A,The hidden word is PARM (keeP ARMs).
HW_30,Drop into the shop right now.,Drop into,into the,the shop,shop right,right now,A,The hidden word is PINT (droP INTo).
HW_209,Glass bottles should be kept upright.,Glass bottles,bottles should,should be,be kept,kept upright,A,The hidden word is LASS (gLASS).
HW_213,Reach inside to find your present.,Reach inside,inside to,to find,find your,your present,A,The hidden word is CHIN (reaCH INside).
HW_216,The young nurse took her temperature.,The young,young nurse,nurse took,took her,her temperature,A,The hidden word is THEY (tHE Young).
HW_225,The map is on the wall,The map,map is,is on,on the,the wall,A,The hidden word is THEM (The map).
HW_226,Go at once to the shops,Go at,at once,once to,to the,the shops,A,The hidden word is GOAT (Go at).
HW_227,Do not drop that heavy box,Do not,not drop,drop that,that heavy,heavy box,A,The hidden word is NOTE (Do not).
HW_228,Tom asks for a new bike,Tom asks,asks for,for a,a new,new bike,A,The hidden word is MASK (Tom asks).
HW_229,Sam asks if he can go,Sam asks,asks if,if he,he can,can go,A,The hidden word is MASK (Sam asks).
HW_230,No one saw the little mouse,No one,one saw,saw the,the little,little mouse,A,The hidden word is NOON (No one).
HW_231,Dark eyes looked at the view,Dark eyes,eyes looked,looked at,at the,the view,A,The hidden word is KEYS (Dark eyes).
HW_232,Safe eels swim in the river,Safe eels,eels swim,swim in,in the,the river,A,The hidden word is FEEL (Safe eels).
HW_233,Keep laying the bricks like this,Keep laying,laying the,the bricks,bricks like,like this,A,The hidden word is PLAY (Keep laying).
HW_234,Rub ink off the white paper,Rub ink,ink off,off the,the white,white paper,A,The hidden word is BINS (Rub ink).
HW_235,Cup one is on the shelf,Cup one,one is,is on,on the,the shelf,A,The hidden word is UPON (Cup one).
HW_236,Top one is on the list,Top one,one is,is on,on the,the list,A,The hidden word is TONE (Top one).
HW_237,War ends when we make peace,War ends,ends when,when we,we make,make peace,A,The hidden word is REND (War ends).
HW_238,Six teams played in the cup,Six teams,teams played,played in,in the,the cup,A,The hidden word is NEXT (Six teams).
HW_239,Four ants walked over the leaf,Four ants,ants walked,walked over,over the,the leaf,A,The hidden word is RANT (Four ants).
HW_240,Sad dads are missing the game,Sad dads,dads are,are missing,missing the,the game,A,The hidden word is ADDS (Sad dads).
HW_241,Your new bag is very nice,Your new,new bag,bag is,is very,very nice,A,The hidden word is URN (Your new).
HW_242,Your nose is very cold today,Your nose,nose is,is very,very cold,cold today,A,The hidden word is URNS (Your nose).
HW_243,Camel owners live in the desert,Camel owners,owners live,live in,in the,the desert,A,The hidden word is LOW (Camel owners).
HW_244,Slow owls fly at night time,Slow owls,owls fly,fly at,at night,night time,A,The hidden word is WOWS (Slow owls).
HW_245,Red ants bite if you touch,Red ants,ants bite,bite if,if you,you touch,A,The hidden word is DANT (Red ants).
HW_246,Real eyes see the truth now,Real eyes,eyes see,see the,the truth,truth now,A,The hidden word is LEAL (Real eyes).
HW_247,Palm trees grow in hot lands,Palm trees,trees grow,grow in,in hot,hot lands,A,The hidden word is MELT (Palm trees).
HW_03,We came at six sharp today.,We came,came at,at six,six sharp,sharp today,B,The hidden word is MEAT (caME AT).
HW_05,The lilac ash tree fell down.,The lilac,lilac ash,ash tree,tree fell,fell down,B,The hidden word is CASH (lilaC ASH).
HW_07,Did he arrive on time today?,Did he,he arrive,arrive on,on time,time today,B,The hidden word is HEAR (hE ARrive).
HW_10,Please calm endless noise right now.,Please calm,calm endless,endless noise,noise right,right now,B,The hidden word is MEND (calM ENDless).
HW_100,The car idea was very good.,The car,car idea,idea was,was very,very good,B,The hidden word is RIDE (caR IDEa).
