Question,OptionA,OptionB,OptionC,OptionD,OptionE,Correct Answer,Difficulty
AA BC DE GG [?],II,HJ,HI,HH,IJ,HI,Level 2
AZ BV CR DP [?],EN,EO,EM,FN,FO,EN,Level 3
AB CD EF GH [?],II,IJ,JJ,JK,IK,IJ,Level 1
XY YZ ZA AB [?],BC,BB,CC,BD,CD,BC,Level 1
MM LO KQ JS [?],IU,IV,HU,HV,IT,IU,Level 3
CD EF GH IJ [?],KK,JK,KL,JL,KM,KL,Level 1
ZA YB XC WD [?],VE,VF,UE,UF,VG,VE,Level 1
BA DC FE HG [?],JI,II,JK,KJ,JJ,JI,Level 1
AX BW CV DU [?],ES,FT,EU,ET,FS,ET,Level 1
ZZ YY XX WW [?],VU,VV,UV,VW,UU,VV,Level 1
BD EG HJ KM [?],NQ,NP,OP,NR,OQ,NP,Level 1
JL MO PR SU [?],VX,VY,UX,UW,VW,VX,Level 1
AC CE EG GI [?],IL,JK,IK,IM,JL,IK,Level 1
TV QS NP KM [?],GI,HJ,HK,GJ,HI,HJ,Level 1
CA DB EC FD [?],GE,GD,HE,HF,GF,GE,Level 1
US SQ QM OK [?],MH,NI,NH,MI,MJ,MI,Level 1
AB BC CD DE [?],EF,EE,FG,EG,FF,EF,Level 1
ZY XW VU TS [?],RQ,RP,RR,SQ,SR,RQ,Level 1
MN PO QR ST [?],UV,TU,UU,VW,VV,UV,Level 1
JJ II HH GG [?],EF,FE,FF,FG,EE,FF,Level 1
AZ BY CX DW [?],EU,FV,EV,EW,FU,EV,Level 1
AM BN CO DP [?],FQ,EQ,EO,EP,ER,EQ,Level 1
JJ KK LL MM [?],NO,NM,MN,NN,ON,NN,Level 1
ZN YL XJ WH [?],VF,UE,VG,VE,UF,VF,Level 2
AC EG IK MO [?],QT,QS,RS,QQ,RT,QS,Level 2
BD FH JL NP [?],RT,QT,RU,RS,QS,RT,Level 2
ZZ YY XX WW [?],VU,UV,VW,UU,VV,VV,Level 2
AX BV CT DR [?],EO,EQ,EP,FQ,FP,EP,Level 2
BA DC FE HG [?],KJ,JI,JJ,JK,KI,JI,Level 2
AZ CX EV GT [?],IS,HS,IQ,IR,HR,IR,Level 2
BY DW FU HS [?],JQ,JP,KR,KQ,JR,JQ,Level 2
CX EV GT IR [?],KP,LP,KQ,KO,LQ,KP,Level 2
DW FU HS JQ [?],LN,MP,LP,LO,MO,LO,Level 2
EV GT IR KP [?],MM,LN,MN,MO,LO,MN,Level 2
FU HS JQ LO [?],NM,ON,NL,OM,NN,NM,Level 2
GT IR KP MN [?],PL,OK,PM,OM,OL,OL,Level 2
HS JQ LO NM [?],PJ,PK,QK,PL,QL,PK,Level 2
IR KP MN OL [?],QI,RJ,QK,RK,QJ,QJ,Level 2
JQ LO NM PK [?],SI,RI,RH,SJ,RJ,RI,Level 2
KP MN OL QJ [?],RI,SG,SH,SI,RH,SH,Level 2
LO NM PK RI [?],TG,UH,TH,TF,UG,TG,Level 2
MN OL QJ SH [?],UF,VF,UG,VE,UE,UF,Level 2
NM PK RI TG [?],VE,VF,WD,WE,VD,VE,Level 2
OL QK SJ UI [?],WH,XH,WG,VG,XG,WH,Level 2
PK RJ TI VH [?],WG,XG,YF,XF,YG,XG,Level 2
QJ SI UH WG [?],ZE,YF,ZF,XF,YE,YF,Level 2
RI TH VG XF [?],ZE,YE,AD,AE,ZD,ZE,Level 2
SH UG WF YE [?],BD,AD,ZD,BC,AC,AD,Level 2
TG VF XE ZD [?],BC,CC,AC,BB,CB,BC,Level 2
UF WE YD AC [?],DA,BB,CA,CB,DB,CB,Level 2
VE XD ZC BB [?],DA,CA,EA,DZ,EZ,DA,Level 2
WD YC AB CA [?],EZ,FY,DZ,EY,FZ,EZ,Level 2
XC ZB BA DZ [?],FY,GX,EY,FX,GY,FY,Level 2
YB AA CZ EY [?],GX,HW,FY,GW,HX,GX,Level 2
ZA BB DC FE [?],IG,HG,HF,IH,HH,HG,Level 3
YB CC ED GF [?],JI,IH,JH,II,KJ,IH,Level 3
XC DD FE HG [?],KJ,JJ,KI,JI,LK,JI,Level 3
WD EE GF IH [?],LJ,KJ,LK,KK,MK,KJ,Level 3
VE FF HG JI [?],LL,ML,LK,MK,LM,LK,Level 3
UF GG IH KJ [?],MM,ML,NM,NL,NK,ML,Level 3
TG HH JI LK [?],ON,NM,NN,MM,OM,NM,Level 3
SH II KJ ML [?],PN,ON,OO,PO,OM,ON,Level 3
RI JJ LK NM [?],PP,QO,PO,QP,OO,PO,Level 3
QJ KK ML ON [?],QP,PP,RQ,QQ,PQ,QP,Level 3
PK LL NM PO [?],QQ,RQ,QP,RR,RP,RQ,Level 3
OL MM ON QP [?],SS,RR,SR,SQ,RQ,SR,Level 3
NM NN PO RQ [?],SS,TS,TR,TT,SR,TS,Level 3
MN OO QP SR [?],US,UT,UU,TT,TU,UT,Level 3
LO PP RQ TS [?],UV,VU,UU,VV,VT,VU,Level 3
KP QQ SR UT [?],WV,WU,VV,WW,VW,WV,Level 3
JQ RR TS VU [?],WW,XW,XV,XU,WX,XW,Level 3
IR SS UT WV [?],YW,YV,YX,XX,YY,YX,Level 3
HS TT VU XW [?],ZY,ZX,ZZ,YY,YZ,ZY,Level 3
GT UU WV YX [?],AZ,BZ,AA,BA,ZZ,AZ,Level 3
FU VV XW ZY [?],BA,AB,AA,BB,AZ,BZ,Level 3
EV WW YX AZ [?],CB,CA,BB,CC,BA,CA,Level 3
DW XX ZY BA [?],DA,CB,CC,DC,DB,DB,Level 3
CX YY AZ CB [?],EC,DD,DC,ED,EE,EC,Level 3
BY ZZ BA DC [?],FD,EE,ED,FE,FF,FD,Level 3
AZ AA CB ED [?],GF,GE,FE,FF,GG,GE,Level 3
BA CB DC ED [?],FF,FE,GE,GF,EE,FE,Level 1
KN MP OR QT [?],TV,SW,SU,SV,TW,SV,Level 1
AA DE GI JL [?],MO,NP,MN,MM,NO,MO,Level 1
