id,question,OptionA,OptionB,OptionC,OptionD,OptionE,correct_answer,explanation,difficulty
1,(3 [15] 5)  (3 [30] 10)  (4 [?] 10),40,47,30,37,32,A,The rule is: multiply the two numbers. Check Example 1: (3 * 5) = 15. Check Example 2: (3 * 10) = 30. Apply to Question: (4 * 10) = 40.,1
2,(5 [50] 10)  (10 [50] 5)  (5 [?] 8),37,40,47,50,39,B,The rule is: multiply the two numbers. Check Example 1: (5 * 10) = 50. Check Example 2: (10 * 5) = 50. Apply to Question: (5 * 8) = 40.,1
3,(18 [12] 6)  (11 [6] 5)  (18 [?] 6),13,12,11,22,15,B,The rule is: find the difference between the numbers. Check Example 1: (18 - 6) = 12. Check Example 2: (11 - 5) = 6. Apply to Question: (18 - 6) = 12.,1
4,(2 [8] 6)  (5 [24] 19)  (12 [?] 20),37,33,34,28,32,E,The rule is: add the left and right numbers. Check Example 1: (2 + 6) = 8. Check Example 2: (5 + 19) = 24. Apply to Question: (12 + 20) = 32.,1
5,(5 [40] 8)  (9 [45] 5)  (7 [?] 6),43,44,32,35,42,E,The rule is: multiply the two numbers. Check Example 1: (5 * 8) = 40. Check Example 2: (9 * 5) = 45. Apply to Question: (7 * 6) = 42.,1
6,(7 [21] 3)  (4 [12] 3)  (4 [?] 9),36,35,34,38,46,A,The rule is: multiply the two numbers. Check Example 1: (7 * 3) = 21. Check Example 2: (4 * 3) = 12. Apply to Question: (4 * 9) = 36.,1
7,(18 [6] 24)  (6 [10] 16)  (9 [?] 19),10,11,12,9,8,A,The rule is: find the difference between the numbers. Check Example 1: (18 - 24) = 6. Check Example 2: (6 - 16) = 10. Apply to Question: (9 - 19) = 10.,1
8,(8 [32] 4)  (9 [45] 5)  (9 [?] 4),35,36,29,38,43,B,The rule is: multiply the two numbers. Check Example 1: (8 * 4) = 32. Check Example 2: (9 * 5) = 45. Apply to Question: (9 * 4) = 36.,1
9,(3 [5] 2)  (16 [28] 12)  (16 [?] 4),20,16,21,19,10,A,The rule is: add the left and right numbers. Check Example 1: (3 + 2) = 5. Check Example 2: (16 + 12) = 28. Apply to Question: (16 + 4) = 20.,1
10,(10 [22] 12)  (6 [8] 2)  (3 [?] 11),14,13,11,16,15,A,The rule is: add the left and right numbers. Check Example 1: (10 + 12) = 22. Check Example 2: (6 + 2) = 8. Apply to Question: (3 + 11) = 14.,1
11,(25 [4] 21)  (6 [7] 13)  (6 [?] 18),11,14,10,13,12,E,The rule is: find the difference between the numbers. Check Example 1: (25 - 21) = 4. Check Example 2: (6 - 13) = 7. Apply to Question: (6 - 18) = 12.,1
12,(6 [16] 22)  (5 [15] 20)  (10 [?] 7),3,4,6,5,13,A,The rule is: find the difference between the numbers. Check Example 1: (6 - 22) = 16. Check Example 2: (5 - 20) = 15. Apply to Question: (10 - 7) = 3.,1
13,(18 [3] 15)  (9 [10] 19)  (16 [?] 10),16,7,8,4,6,E,The rule is: find the difference between the numbers. Check Example 1: (18 - 15) = 3. Check Example 2: (9 - 19) = 10. Apply to Question: (16 - 10) = 6.,1
14,(8 [8] 16)  (16 [11] 5)  (25 [?] 12),16,15,13,11,12,C,The rule is: find the difference between the numbers. Check Example 1: (8 - 16) = 8. Check Example 2: (16 - 5) = 11. Apply to Question: (25 - 12) = 13.,1
15,(4 [21] 17)  (14 [21] 7)  (15 [?] 4),21,16,17,20,19,E,The rule is: add the left and right numbers. Check Example 1: (4 + 17) = 21. Check Example 2: (14 + 7) = 21. Apply to Question: (15 + 4) = 19.,1
