id,question,OptionA,OptionB,OptionC,OptionD,OptionE,Correct answer,difficulty level
1,"If the code for WING is DRMT, what does SLOW mean?",HOLE,HELD,HOLD,COLD,GOLD,C,Hard
2,"If the code for KNEE is ILCC, what is the code for HAIR?",FYGP,JCKT,HAIR,EXFO,GZHQ,A,Medium
3,"If the code for HANG is SZMT, what is the code for ROAD?",TQCF,EBNQ,QNZC,ILZW,SPBE,D,Hard
4,"If the code for DROP is GURS, what does NHHQ mean?",SEEN,MEAN,FEED,KEEP,KEEN,E,Medium
5,"If the code for DRUG is ESVH, what is the code for WAIT?",VZHS,YCKV,WAIT,XBJU,ZDLW,D,Easy
6,"If the code for GAME is FZLD, what is the code for PAIN?",PAIN,RCKP,QBJO,NYGL,OZHM,E,Easy
7,"If the code for FINE is GHOD, what is the code for HELP?",JGNR,GDKO,SNWY,IFMQ,IDMO,E,Hard
8,"If the code for WHAT is XIBU, what is the code for NEXT?",MDWS,NEXT,QHAW,OFYU,PGZV,D,Easy
9,"If the code for SAME is UCOG, what is the code for FIRE?",JMVI,DGPC,ILUH,HKTG,GJSF,D,Medium
10,"If the code for GOAL is HNBK, what does IZMK mean?",BALL,WALL,HALL,HILL,HALF,C,Hard
11,"If the code for VERY is UDQX, what does ITLO mean?",LOAD,JUST,JUMP,CAMP,LAMP,C,Easy
12,"If the code for LINE is PMRI, what is the code for DATA?",JGZG,IFYF,ZWPW,GDWD,HEXE,E,Hard
13,"If the code for COOL is BNNK, what is the code for EVIL?",DUHK,FWJM,IZMP,EVIL,CTGJ,A,Easy
14,"If the code for PALM is MXIJ, what does MLLO mean?",POEM,DOOR,ROOM,POOR,POOL,D,Medium
15,"If the code for WELL is DVOO, what is the code for SOLD?",FBYQ,HLOW,UQNF,TPME,RNKC,B,Hard
16,"If the code for FOUR is GPVS, what does DBTU mean?",CAST,CASH,PAST,EAST,LAST,A,Easy
17,"If the code for FROM is DPMK, what is the code for BATH?",YXQE,ZYRF,DCVJ,BATH,AZSG,B,Medium
18,"If the code for PALM is UFQR, what is the code for INCH?",NSHM,MRGL,OTIN,DIXC,PUJO,A,Hard
19,"If the code for ORAL is NQZK, what is the code for TINY?",CRWH,TINY,SHMX,UJOZ,RGLW,C,Easy
20,"If the code for HAVE is IZWD, what is the code for BACK?",DCEM,CZDJ,AZBJ,KHLR,CBDL,B,Hard
21,"If the code for BURN is WPMI, what does AGJR mean?",SLOW,BLOW,KNOW,FLOW,SHOW,D,Hard
22,"If the code for ROAD is OLXA, what does MIXV mean?",PLAN,PEAK,PLOT,PLAY,STAY,D,Medium
23,"If the code for TEND is XIRH, what does LERK mean?",HATE,HANG,WING,LONG,HAND,B,Hard
24,"If the code for RISE is SJTF, what does GVMM mean?",FUEL,FILL,PULL,FELL,FULL,E,Easy
25,"If the code for FUEL is IXHO, what does SRRU mean?",POOL,MOOD,TOUR,POOR,DOOR,D,Medium
26,"If the code for CHAT is ZEXQ, what is the code for SUCH?",OQYD,RTBG,PRZE,QSAF,VXFK,C,Medium
27,"If the code for MOOD is NNPC, what does SDBQ mean?",BEAR,REAR,HEAR,READ,DEAR,B,Hard
28,"If the code for RAIL is SZJK, what is the code for DUST?",ETTS,EVTU,CTRS,FWUV,FUUT,A,Hard
29,"If the code for DUTY is HYXC, what is the code for HAND?",LERH,DWJZ,MFSI,KDQG,NGTJ,A,Hard
30,"If the code for POST is MLPQ, what does BADB mean?",EDGE,ELSE,HUGE,PAGE,HANG,A,Medium
31,"If the code for HARD is IZSC, what is the code for CITY?",EKVA,BHSX,GKXA,DJUZ,DHUX,E,Hard
