Question,OptionA,OptionB,OptionC,OptionD,OptionE,CorrectAnswer
"Find two words, one from each group, that are closest in meaning: (act avoid stop) (tie play dodge)",stop dodge,avoid tie,avoid play,act play,act tie,act play
"Find two words, one from each group, that are closest in meaning: (act collect sleep) (show reduce play)",act reduce,act play,sleep play,act show,collect reduce,act play
"Find two words, one from each group, that are closest in meaning: (alter tie hide) (change attach soften)",tie change,hide soften,alter attach,alter change,tie attach,alter change
"Find two words, one from each group, that are closest in meaning: (alter incite copy) (throw dwell change)",alter throw,alter dwell,alter change,incite dwell,copy change,alter change
"Find two words, one from each group, that are closest in meaning: (dull ancient skilful) (old steady new)",ancient old,ancient steady,dull old,skilful new,dull steady,ancient old
"Find two words, one from each group, that are closest in meaning: (dull strong ancient) (instant able old)",strong instant,dull able,dull instant,strong able,ancient old,ancient old
"Find two words, one from each group, that are closest in meaning: (pleasant angry nice) (immediate cross grateful)",nice grateful,angry cross,pleasant cross,angry immediate,pleasant immediate,angry cross
"Find two words, one from each group, that are closest in meaning: (vacant eternal angry) (hard round cross)",eternal hard,angry cross,vacant hard,eternal round,vacant round,angry cross
"Find two words, one from each group, that are closest in meaning: (top apparel blossom) (clothing liberty scent)",blossom scent,apparel clothing,top clothing,top liberty,apparel liberty,apparel clothing
"Find two words, one from each group, that are closest in meaning: (poverty country apparel) (cut need clothing)",apparel clothing,country cut,poverty need,poverty cut,country need,apparel clothing
"Find two words, one from each group, that are closest in meaning: (sidewalk aroma top) (cot sleep scent)",top scent,sidewalk cot,aroma sleep,aroma scent,sidewalk sleep,aroma scent
"Find two words, one from each group, that are closest in meaning: (assist end connect) (study help examine)",assist help,assist study,connect examine,end study,end help,assist help
"Find two words, one from each group, that are closest in meaning: (assist yell alter) (lessen help examine)",yell lessen,assist help,alter examine,assist lessen,yell help,assist help
"Find two words, one from each group, that are closest in meaning: (awake delicate scared) (unclear round alert)",awake round,scared alert,awake unclear,awake alert,delicate round,awake alert
"Find two words, one from each group, that are closest in meaning: (cross witty awake) (ancient alert mad)",cross ancient,awake mad,cross alert,witty alert,awake alert,awake alert
"Find two words, one from each group, that are closest in meaning: (bowl speed disaster) (scent dish rural)",disaster rural,bowl scent,speed scent,speed dish,bowl dish,bowl dish
"Find two words, one from each group, that are closest in meaning: (bowl labour foe) (dish top error)",labour dish,foe error,bowl dish,labour top,bowl top,bowl dish
"Find two words, one from each group, that are closest in meaning: (brave lucky eternal) (bold witty able)",lucky bold,brave bold,eternal able,lucky witty,brave witty,brave bold
"Find two words, one from each group, that are closest in meaning: (neat rough brave) (robust alert bold)",rough alert,brave bold,neat alert,rough robust,neat robust,brave bold
"Find two words, one from each group, that are closest in meaning: (round brief gloomy) (short honest brave)",round short,brief honest,brief short,round honest,gloomy brave,brief short
"Find two words, one from each group, that are closest in meaning: (brave brief immediate) (empty short vague)",immediate vague,brief empty,brief short,brave short,brave empty,brief short
"Find two words, one from each group, that are closest in meaning: (peak cut bucket) (rock country pail)",bucket pail,cut country,peak rock,cut rock,peak country,bucket pail
"Find two words, one from each group, that are closest in meaning: (bucket baby regret) (slice pail sofa)",bucket slice,regret sofa,baby slice,bucket pail,baby pail,bucket pail
"Find two words, one from each group, that are closest in meaning: (hide burn grow) (pardon scorch stop)",hide pardon,grow stop,burn pardon,hide scorch,burn scorch,burn scorch
"Find two words, one from each group, that are closest in meaning: (remember overlook burn) (yell scorch slumber)",overlook scorch,burn scorch,burn slumber,remember yell,remember scorch,burn scorch
"Find two words, one from each group, that are closest in meaning: (bold whole calm) (odd alert peaceful)",bold alert,calm peaceful,whole alert,bold odd,whole odd,calm peaceful
"Find two words, one from each group, that are closest in meaning: (calm truthful new) (savage peaceful happy)",truthful savage,new happy,calm savage,truthful peaceful,calm peaceful,calm peaceful
"Find two words, one from each group, that are closest in meaning: (delicate cautious circular) (careful odd robust)",delicate careful,cautious careful,delicate odd,cautious odd,circular robust,cautious careful
"Find two words, one from each group, that are closest in meaning: (cautious odd huge) (peaceful careful empty)",odd peaceful,cautious peaceful,huge empty,cautious careful,odd careful,cautious careful
"Find two words, one from each group, that are closest in meaning: (cease collect finish) (finish stop dwell)",finish dwell,cease finish,cease stop,collect finish,collect stop,cease stop
