id,Difficulty,Question Pairs,OptionA,OptionB,OptionC,OptionD,OptionE,Correct Answer,Explanation
1,Level 1,"(performance, drama) (fun, game)",PLAY,BOLT,RASH,FAN,FAIR,A,The word 'PLAY' links the two pairs. 1. Play means 'performance' or 'drama'. 2. Play also means 'fun' or 'game'.
2,Level 1,"(circle, loop) (call, sound)",SCALE,RING,FINE,PRESENT,MINT,B,The word 'RING' links the two pairs. 1. Ring means 'circle' or 'loop'. 2. Ring also means 'call' or 'sound'.
3,Level 1,"(estate, garden) (place, position)",TENDER,STEEP,PRESENT,PARK,FINE,D,The word 'PARK' links the two pairs. 1. Park means 'estate' or 'garden'. 2. Park also means 'place' or 'position'.
4,Level 1,"(loop, circle) (call, sound)",OBJECT,RING,SCALE,TRIP,RASH,B,The word 'RING' links the two pairs. 1. Ring means 'loop' or 'circle'. 2. Ring also means 'call' or 'sound'.
5,Level 1,"(preserve, spread) (crowd, squeeze)",PATIENT,LEAD,JAM,QUAIL,REFUSE,C,The word 'JAM' links the two pairs. 1. Jam means 'preserve' or 'spread'. 2. Jam also means 'crowd' or 'squeeze'.
6,Level 1,"(contest, sport) (same, pair)",LONG,PLAY,MATCH,CONTRACT,STERN,C,The word 'MATCH' links the two pairs. 1. Match means 'contest' or 'sport'. 2. Match also means 'same' or 'pair'.
7,Level 1,"(tour, outing) (fall, stumble)",QUAIL,SCALE,FILE,TRIP,MINUTE,D,The word 'TRIP' links the two pairs. 1. Trip means 'tour' or 'outing'. 2. Trip also means 'fall' or 'stumble'.
8,Level 1,"(racket, club) (creature, mammal)",BAT,OBJECT,LONG,FILE,ROCK,A,The word 'BAT' links the two pairs. 1. Bat means 'racket' or 'club'. 2. Bat also means 'creature' or 'mammal'.
9,Level 1,"(estate, garden) (place, stop)",SCALE,JAM,GRAVE,STEEP,PARK,E,The word 'PARK' links the two pairs. 1. Park means 'estate' or 'garden'. 2. Park also means 'place' or 'stop'.
10,Level 1,"(yell, cry) (skin, rind)",CONTRACT,LONG,BARK,YARD,GRAVE,C,The word 'BARK' links the two pairs. 1. Bark means 'yell' or 'cry'. 2. Bark also means 'skin' or 'rind'.
11,Level 1,"(soar, glide) (bug, pest)",FAIR,FLY,JAM,BOLT,RASH,B,The word 'FLY' links the two pairs. 1. Fly means 'soar' or 'glide'. 2. Fly also means 'bug' or 'pest'.
12,Level 1,"(view, observe) (timepiece, timer)",WATCH,FINE,CONTENT,CLUB,PRESENT,A,The word 'WATCH' links the two pairs. 1. Watch means 'view' or 'observe'. 2. Watch also means 'timepiece' or 'timer'.
13,Level 1,"(shout, yell) (rind, skin)",RASH,BARK,ROCK,PRESENT,INVALID,B,The word 'BARK' links the two pairs. 1. Bark means 'shout' or 'yell'. 2. Bark also means 'rind' or 'skin'.
14,Level 1,"(shout, cry) (rind, skin)",TENDER,TRIP,FINE,SEASON,BARK,E,The word 'BARK' links the two pairs. 1. Bark means 'shout' or 'cry'. 2. Bark also means 'rind' or 'skin'.
15,Level 1,"(stone, pebble) (shake, swing)",ROCK,QUAIL,FILE,SINK,MATCH,A,The word 'ROCK' links the two pairs. 1. Rock means 'stone' or 'pebble'. 2. Rock also means 'shake' or 'swing'.
16,Level 1,"(show, drama) (game, sport)",BOLT,FAN,PLAY,RACKET,QUAIL,C,The word 'PLAY' links the two pairs. 1. Play means 'show' or 'drama'. 2. Play also means 'game' or 'sport'.
17,Level 1,"(jelly, preserve) (block, squeeze)",JAM,MINUTE,ROCK,CURRENT,REFUSE,A,The word 'JAM' links the two pairs. 1. Jam means 'jelly' or 'preserve'. 2. Jam also means 'block' or 'squeeze'.
18,Level 1,"(hover, glide) (insect, bug)",MINT,BAT,PLAY,CLUB,FLY,E,The word 'FLY' links the two pairs. 1. Fly means 'hover' or 'glide'. 2. Fly also means 'insect' or 'bug'.
19,Level 1,"(spread, jelly) (squeeze, crowd)",QUAIL,CLUB,SEASON,JAM,PRESENT,D,The word 'JAM' links the two pairs. 1. Jam means 'spread' or 'jelly'. 2. Jam also means 'squeeze' or 'crowd'.
20,Level 1,"(soar, glide) (bug, pest)",FLY,STERN,LONG,FAIR,OBJECT,A,The word 'FLY' links the two pairs. 1. Fly means 'soar' or 'glide'. 2. Fly also means 'bug' or 'pest'.
21,Level 1,"(soar, hover) (pest, bug)",PATIENT,JERK,INVALID,REFUSE,FLY,E,The word 'FLY' links the two pairs. 1. Fly means 'soar' or 'hover'. 2. Fly also means 'pest' or 'bug'.
22,Level 1,"(stone, boulder) (shake, swing)",ROCK,CONTRACT,RING,LEAD,MINUTE,A,The word 'ROCK' links the two pairs. 1. Rock means 'stone' or 'boulder'. 2. Rock also means 'shake' or 'swing'.
23,Level 1,"(gesture, sign) (ripple, sea)",WAVE,SCALE,FILE,OBJECT,FAN,A,The word 'WAVE' links the two pairs. 1. Wave means 'gesture' or 'sign'. 2. Wave also means 'ripple' or 'sea'.
24,Level 1,"(spread, jelly) (crowd, block)",POOL,CONTENT,LONG,JAM,JERK,D,The word 'JAM' links the two pairs. 1. Jam means 'spread' or 'jelly'. 2. Jam also means 'crowd' or 'block'.
25,Level 1,"(yell, shout) (covering, skin)",CONTENT,BOLT,CLUB,BARK,JERK,D,The word 'BARK' links the two pairs. 1. Bark means 'yell' or 'shout'. 2. Bark also means 'covering' or 'skin'.
26,Level 1,"(hover, soar) (pest, insect)",WAVE,PRESENT,YARD,FLY,GRAVE,D,The word 'FLY' links the two pairs. 1. Fly means 'hover' or 'soar'. 2. Fly also means 'pest' or 'insect'.
27,Level 1,"(washbowl, drain) (fall, descend)",SINK,YARD,SEASON,MINT,GRAVE,A,The word 'SINK' links the two pairs. 1. Sink means 'washbowl' or 'drain'. 2. Sink also means 'fall' or 'descend'.
28,Level 1,"(sign, gesture) (sea, ripple)",WAVE,WATCH,CLUB,MATCH,QUAIL,A,The word 'WAVE' links the two pairs. 1. Wave means 'sign' or 'gesture'. 2. Wave also means 'sea' or 'ripple'.
29,Level 1,"(game, contest) (equal, same)",PRESENT,MATCH,RACKET,FILE,GRATE,B,The word 'MATCH' links the two pairs. 1. Match means 'game' or 'contest'. 2. Match also means 'equal' or 'same'.
