"Question,OptionA,OptionB,OptionC,OptionD,OptionE,Correct Answer,Difficulty"
"Find the SYNONYMS: (HAIR SKIRT FLUCTUATE) | (BOWL VARY MEAT),SKIRT-VARY,FLUCTUATE-VARY,HAIR-VARY,FLUCTUATE-MEAT,SKIRT-MEAT,FLUCTUATE-VARY,Level 1"
"Find the ANTONYMS: (FRESH MUD HEAD) | (MUG STALE GLASS),MUD-GLASS,FRESH-MUG,FRESH-STALE,FRESH-GLASS,HEAD-GLASS,FRESH-STALE,Level 1"
"Find the SYNONYMS: (ASTONISH LAMP LEMON) | (SURPRISE RUG VIOLIN),ASTONISH-SURPRISE,LAMP-SURPRISE,LEMON-VIOLIN,LEMON-RUG,LAMP-VIOLIN,ASTONISH-SURPRISE,Level 2"
"Find the ANTONYMS: (CLOSE TEACHER WOOL) | (SILVER OPEN CAKE),WOOL-SILVER,CLOSE-OPEN,WOOL-CAKE,TEACHER-SILVER,TEACHER-CAKE,CLOSE-OPEN,Level 3"
"Find the ANTONYMS: (KITE SOCK EAST) | (TUNNEL LEMON WEST),KITE-LEMON,SOCK-TUNNEL,EAST-TUNNEL,EAST-WEST,KITE-WEST,EAST-WEST,Level 1"
"Find the ANTONYMS: (PATH FORGET COTTON) | (CITY DRIVER REMEMBER),COTTON-DRIVER,FORGET-CITY,COTTON-CITY,PATH-DRIVER,FORGET-REMEMBER,FORGET-REMEMBER,Level 3"
"Find the SYNONYMS: (DECEIVE MUG ZOO) | (CHEAT ACTOR GATE),DECEIVE-GATE,MUG-GATE,DECEIVE-CHEAT,MUG-CHEAT,ZOO-ACTOR,DECEIVE-CHEAT,Level 2"
"Find the ANTONYMS: (EXPLODE BALL RING) | (SEED IMPLODE ATTIC),BALL-ATTIC,RING-IMPLODE,BALL-SEED,BALL-IMPLODE,EXPLODE-IMPLODE,EXPLODE-IMPLODE,Level 1"
"Find the SYNONYMS: (KITCHEN JUG FLOURISH) | (THRIVE MUSEUM RAIN),KITCHEN-THRIVE,JUG-RAIN,FLOURISH-THRIVE,KITCHEN-RAIN,FLOURISH-RAIN,FLOURISH-THRIVE,Level 2"
"Find the SYNONYMS: (APPEAR GLASS LINEN) | (QUEEN VILLAGE SEEM),APPEAR-SEEM,LINEN-QUEEN,GLASS-VILLAGE,GLASS-QUEEN,APPEAR-QUEEN,APPEAR-SEEM,Level 3"
"Find the ANTONYMS: (SOAP BITTER SCARF) | (KNIFE SEED SWEET),SCARF-SEED,SOAP-KNIFE,SCARF-SWEET,BITTER-SEED,BITTER-SWEET,BITTER-SWEET,Level 3"
"Find the SYNONYMS: (TEA EXPENSIVE VILLAGE) | (PLASTIC CARROT COSTLY),TEA-PLASTIC,EXPENSIVE-CARROT,EXPENSIVE-COSTLY,VILLAGE-COSTLY,TEA-COSTLY,EXPENSIVE-COSTLY,Level 2"
"Find the ANTONYMS: (CHEESE SPOON CHEERFUL) | (FOOT SOCK SAD),SPOON-SAD,CHEESE-SOCK,CHEERFUL-SAD,CHEESE-SAD,CHEESE-FOOT,CHEERFUL-SAD,Level 1"
"Find the SYNONYMS: (BALL TOMATO ENCOURAGE) | (BATH INSPIRE WOOL),BALL-BATH,ENCOURAGE-INSPIRE,TOMATO-WOOL,BALL-WOOL,ENCOURAGE-WOOL,ENCOURAGE-INSPIRE,Level 2"
"Find the SYNONYMS: (TOOTH ADVOCATE FACTORY) | (SUPPORT SHOP ZOO),FACTORY-SHOP,ADVOCATE-SUPPORT,FACTORY-SUPPORT,TOOTH-ZOO,TOOTH-SHOP,ADVOCATE-SUPPORT,Level 3"
"Find the SYNONYMS: (CLEAR LAMP EAR) | (DISTINCT TOY PLAYER),CLEAR-PLAYER,EAR-TOY,CLEAR-TOY,CLEAR-DISTINCT,EAR-PLAYER,CLEAR-DISTINCT,Level 2"
"Find the ANTONYMS: (BANK FLATTER BLOOD) | (BACK ROAD INSULT),BANK-ROAD,FLATTER-INSULT,FLATTER-BACK,BLOOD-BACK,BANK-INSULT,FLATTER-INSULT,Level 3"
"Find the ANTONYMS: (ENGAGE TRAY SUN) | (SOCK DISMISS PLAYER),ENGAGE-SOCK,SUN-PLAYER,TRAY-PLAYER,ENGAGE-DISMISS,SUN-SOCK,ENGAGE-DISMISS,Level 2"
"Find the SYNONYMS: (SQUARE ELABORATE QUEEN) | (DETAILED ROAD SKIN),QUEEN-ROAD,SQUARE-ROAD,ELABORATE-DETAILED,ELABORATE-SKIN,SQUARE-SKIN,ELABORATE-DETAILED,Level 3"
