id,question,optionA,optionB,optionC,optionD,optionE,Correct
1,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) zoo, b) skate, c) mad }
Group 2: { x) mud, y) board, z) put }",CZ,CX,BZ,AX,BY,E
2,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) grand, b) big, c) bad }
Group 2: { x) van, y) cap, z) mother }",CY,BZ,BY,AY,AZ,E
3,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) lady, b) cap, c) web }
Group 2: { x) sky, y) big, z) bug }",BX,CZ,CX,BZ,AZ,E
4,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) old, b) toy, c) hot }
Group 2: { x) dog, y) mud, z) low }",AZ,CY,CX,BX,BZ,C
5,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) fat, b) run, c) farm }
Group 2: { x) win, y) lap, z) house }",CY,BZ,AZ,CZ,AX,D
6,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) log, b) super, c) tap }
Group 2: { x) man, y) blue, z) say }",CZ,BX,BZ,AZ,AX,B
7,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) top, b) get, c) skate }
Group 2: { x) mad, y) log, z) board }",AY,AX,BX,CZ,AZ,D
8,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) van, b) toy, c) foot }
Group 2: { x) old, y) print, z) fat }",BX,CY,AX,CZ,AY,B
9,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) tap, b) hand, c) new }
Group 2: { x) bag, y) dog, z) pig }",CZ,CX,BX,AY,BY,C
10,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) cat, b) tap, c) ear }
Group 2: { x) web, y) ring, z) toy }",BZ,AY,CY,BX,BY,C
11,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) top, b) suit, c) get }
Group 2: { x) elf, y) say, z) case }",BX,BY,AZ,BZ,CX,D
12,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) farm, b) win, c) tap }
Group 2: { x) big, y) cat, z) house }",AX,BY,CY,AZ,AY,D
13,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) hat, b) mail, c) cap }
Group 2: { x) top, y) man, z) bad }",CZ,BY,BZ,BX,AZ,B
14,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) bat, b) toy, c) light }
Group 2: { x) house, y) rat, z) cat }",BY,CX,BX,AX,CY,B
15,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) lap, b) dog, c) air }
Group 2: { x) plane, y) say, z) low }",AZ,BY,CY,BX,CX,E
16,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) key, b) tap, c) top }
Group 2: { x) fat, y) hole, z) top }",BZ,AX,CZ,AY,CY,D
