id,question,optionA,optionB,optionC,optionD,optionE,Correct,difficulty
1,37  33  29  25  [?],20,31,22,18,21,E,Level 1
2,80  77  74  71  [?],71,68,64,63,66,B,Level 1
3,38  41  44  47  [?],47,54,48,52,50,E,Level 1
4,9  11  13  15  [?],16,17,13,18,14,B,Level 1
5,37  43  49  55  [?],57,59,55,71,61,E,Level 1
6,31  27  23  19  [?],15,17,5,13,19,A,Level 1
7,47  65  83  101  [?],137,124,121,101,119,E,Level 1
8,47  53  59  65  [?],78,71,69,75,65,B,Level 1
9,6  18  54  162  [?],595,378,486,485,491,C,Level 1
10,9  18  36  72  [?],154,143,144,147,145,C,Level 1
11,53  46  39  32  [?],25,26,23,32,15,A,Level 1
12,8  16  32  64  [?],133,125,138,124,128,E,Level 1
13,6  18  54  162  [?],593,489,484,486,482,D,Level 1
14,11  31  51  71  [?],95,91,71,90,87,B,Level 1
15,69  62  55  48  [?],41,31,40,51,33,A,Level 1
16,6  18  54  162  [?],489,491,486,496,488,C,Level 1
17,3  9  27  81  [?],244,238,241,243,242,D,Level 1
18,19  39  59  79  [?],99,109,79,103,101,A,Level 1
19,4  12  36  108  [?],319,327,314,324,395,D,Level 1
20,9  27  81  243  [?],890,732,729,727,567,C,Level 1
21,3  9  27  81  [?],243,246,298,233,296,A,Level 1
22,36  38  40  42  [?],43,54,44,45,46,C,Level 1
23,21  37  53  69  [?],86,75,84,101,85,E,Level 1
24,100  98  96  94  [?],91,87,93,92,90,D,Level 1
25,4  8  16  32  [?],59,54,74,64,67,D,Level 1
26,9  27  81  243  [?],725,892,728,724,729,E,Level 1
27,42  40  38  36  [?],29,34,35,32,24,B,Level 1
28,5  15  45  135  [?],403,406,494,405,395,D,Level 1
29,9  27  81  243  [?],567,733,891,730,729,E,Level 1
30,39  55  71  87  [?],113,104,87,108,103,E,Level 1
31,15  21  27  33  [?],44,35,39,45,37,C,Level 1
32,49  53  57  61  [?],65,69,66,60,70,A,Level 1
33,3  6  12  24  [?],50,48,49,51,59,B,Level 1
34,9  18  36  72  [?],144,146,143,145,147,A,Level 1
35,21  18  15  12  [?],14,9,11,12,19,B,Level 1
36,8  24  72  216  [?],649,646,648,651,643,C,Level 1
37,67  64  61  58  [?],57,55,52,45,65,B,Level 1
38,75  66  57  48  [?],44,36,48,34,39,E,Level 1
39,1  3  9  27  [?],81,78,76,84,99,A,Level 1
40,5  15  45  135  [?],403,407,495,496,405,E,Level 1
