id,Question Type,Question Text,Option A,Option B,Option C,Option D,Option E,Correct Answer,Logic Explanation
1,Type 1: Temporal,"Read the schedule below:
1. Choir is on Tuesday.
2. Football is the day after Choir.
3. Judo is two days before Football.
4. Tennis is the day before Judo.

On which day is Tennis?",Tuesday,Sunday,Thursday,Wednesday,Monday,Sunday,"1. Start: Choir is Tuesday.
2. Football is day after (Wednesday).
3. Judo is 2 days before Football (Monday).
4. Tennis is day before Judo -> Sunday."
2,Type 1: Temporal,"Read the schedule below:
1. Choir is on Thursday.
2. Football is the day after Choir.
3. Judo is two days before Football.
4. Tennis is the day before Judo.

On which day is Tennis?",Monday,Tuesday,Thursday,Wednesday,Friday,Tuesday,"1. Start: Choir is Thursday.
2. Football is day after (Friday).
3. Judo is 2 days before Football (Wednesday).
4. Tennis is day before Judo -> Tuesday."
3,Type 1: Temporal,"Read the schedule below:
1. Choir is on Tuesday.
2. Football is the day after Choir.
3. Judo is two days before Football.
4. Tennis is the day before Judo.

On which day is Tennis?",Sunday,Monday,Tuesday,Thursday,Wednesday,Sunday,"1. Start: Choir is Tuesday.
2. Football is day after (Wednesday).
3. Judo is 2 days before Football (Monday).
4. Tennis is day before Judo -> Sunday."
4,Type 1: Temporal,"Read the schedule below:
1. Choir is on Tuesday.
2. Football is the day after Choir.
3. Judo is two days before Football.
4. Tennis is the day before Judo.

On which day is Tennis?",Wednesday,Monday,Tuesday,Thursday,Sunday,Sunday,"1. Start: Choir is Tuesday.
2. Football is day after (Wednesday).
3. Judo is 2 days before Football (Monday).
4. Tennis is day before Judo -> Sunday."
5,Type 1: Temporal,"Read the schedule below:
1. Choir is on Saturday.
2. Football is the day after Choir.
3. Judo is two days before Football.
4. Tennis is the day before Judo.

On which day is Tennis?",Thursday,Monday,Friday,Wednesday,Tuesday,Thursday,"1. Start: Choir is Saturday.
2. Football is day after (Sunday).
3. Judo is 2 days before Football (Friday).
4. Tennis is day before Judo -> Thursday."
6,Type 1: Temporal,"Read the schedule below:
1. Choir is on Saturday.
2. Football is the day after Choir.
3. Judo is two days before Football.
4. Tennis is the day before Judo.

On which day is Tennis?",Wednesday,Tuesday,Friday,Thursday,Monday,Thursday,"1. Start: Choir is Saturday.
2. Football is day after (Sunday).
3. Judo is 2 days before Football (Friday).
4. Tennis is day before Judo -> Thursday."
7,Type 1: Temporal,"Read the schedule below:
1. Choir is on Tuesday.
2. Football is the day after Choir.
3. Judo is two days before Football.
4. Tennis is the day before Judo.

On which day is Tennis?",Wednesday,Thursday,Monday,Sunday,Tuesday,Sunday,"1. Start: Choir is Tuesday.
2. Football is day after (Wednesday).
3. Judo is 2 days before Football (Monday).
4. Tennis is day before Judo -> Sunday."
8,Type 1: Temporal,"Read the schedule below:
1. Choir is on Thursday.
2. Football is the day after Choir.
3. Judo is two days before Football.
4. Tennis is the day before Judo.

On which day is Tennis?",Thursday,Tuesday,Monday,Wednesday,Friday,Tuesday,"1. Start: Choir is Thursday.
2. Football is day after (Friday).
3. Judo is 2 days before Football (Wednesday).
4. Tennis is day before Judo -> Tuesday."
9,Type 1: Temporal,"Read the schedule below:
1. Choir is on Saturday.
2. Football is the day after Choir.
3. Judo is two days before Football.
4. Tennis is the day before Judo.

On which day is Tennis?",Thursday,Monday,Tuesday,Wednesday,Friday,Thursday,"1. Start: Choir is Saturday.
2. Football is day after (Sunday).
3. Judo is 2 days before Football (Friday).
4. Tennis is day before Judo -> Thursday."
10,Type 1: Temporal,"Read the schedule below:
1. Choir is on Friday.
2. Football is the day after Choir.
3. Judo is two days before Football.
4. Tennis is the day before Judo.

On which day is Tennis?",Thursday,Monday,Tuesday,Wednesday,Friday,Wednesday,"1. Start: Choir is Friday.
2. Football is day after (Saturday).
3. Judo is 2 days before Football (Thursday).
4. Tennis is day before Judo -> Wednesday."
11,Type 2: Linear,"Five friends (Daniel, Jack, James, Oliver, Thomas) live in row of houses 1 to 5.
1. Daniel lives in house 3.
2. Oliver lives in house 1.
3. James lives between Oliver and Daniel.
4. Jack lives next to Daniel, but does not live in house 5.

Who lives in house 5?",Daniel,Jack,James,Oliver,Thomas,Thomas,"1. House 3 is Daniel.
2. House 1 is Oliver.
3. James is between H1 and H3 -> House 2.
4. Jack is next to H3 (so H2 or H4). H2 is taken. So Jack is H4.
5. Only House 5 is left for Thomas."
12,Type 2: Linear,"Five friends (Emily, Jessica, Oliver, Sophie, William) live in row of houses 1 to 5.
1. Oliver lives in house 3.
2. Sophie lives in house 1.
3. Emily lives between Sophie and Oliver.
4. Jessica lives next to Oliver, but does not live in house 5.

Who lives in house 5?",Emily,Jessica,Oliver,Sophie,William,William,"1. House 3 is Oliver.
2. House 1 is Sophie.
3. Emily is between H1 and H3 -> House 2.
4. Jessica is next to H3 (so H2 or H4). H2 is taken. So Jessica is H4.
5. Only House 5 is left for William."
13,Type 2: Linear,"Five friends (Emily, Harry, Jack, Jessica, Lucy) live in row of houses 1 to 5.
1. Lucy lives in house 3.
2. Harry lives in house 1.
3. Jack lives between Harry and Lucy.
4. Emily lives next to Lucy, but does not live in house 5.

Who lives in house 5?",Emily,Harry,Jack,Jessica,Lucy,Jessica,"1. House 3 is Lucy.
2. House 1 is Harry.
3. Jack is between H1 and H3 -> House 2.
4. Emily is next to H3 (so H2 or H4). H2 is taken. So Emily is H4.
5. Only House 5 is left for Jessica."
14,Type 2: Linear,"Five friends (Chloe, George, Harry, James, William) live in row of houses 1 to 5.
1. James lives in house 3.
2. George lives in house 1.
3. Harry lives between George and James.
4. William lives next to James, but does not live in house 5.

Who lives in house 5?",Chloe,George,Harry,James,William,Chloe,"1. House 3 is James.
2. House 1 is George.
3. Harry is between H1 and H3 -> House 2.
4. William is next to H3 (so H2 or H4). H2 is taken. So William is H4.
5. Only House 5 is left for Chloe."
15,Type 2: Linear,"Five friends (Amara, Jack, James, Lucy, Sarah) live in row of houses 1 to 5.
1. James lives in house 3.
2. Lucy lives in house 1.
3. Amara lives between Lucy and James.
4. Jack lives next to James, but does not live in house 5.

Who lives in house 5?",Amara,Jack,James,Lucy,Sarah,Sarah,"1. House 3 is James.
2. House 1 is Lucy.
3. Amara is between H1 and H3 -> House 2.
4. Jack is next to H3 (so H2 or H4). H2 is taken. So Jack is H4.
5. Only House 5 is left for Sarah."
16,Type 2: Linear,"Five friends (Amara, George, Jack, James, William) live in row of houses 1 to 5.
1. Jack lives in house 3.
2. William lives in house 1.
3. James lives between William and Jack.
4. George lives next to Jack, but does not live in house 5.

Who lives in house 5?",Amara,George,Jack,James,William,Amara,"1. House 3 is Jack.
2. House 1 is William.
3. James is between H1 and H3 -> House 2.
4. George is next to H3 (so H2 or H4). H2 is taken. So George is H4.
5. Only House 5 is left for Amara."
17,Type 2: Linear,"Five friends (Amara, Chloe, Emily, Jessica, Lucy) live in row of houses 1 to 5.
1. Amara lives in house 3.
2. Jessica lives in house 1.
3. Emily lives between Jessica and Amara.
4. Chloe lives next to Amara, but does not live in house 5.

Who lives in house 5?",Amara,Chloe,Emily,Jessica,Lucy,Lucy,"1. House 3 is Amara.
2. House 1 is Jessica.
3. Emily is between H1 and H3 -> House 2.
4. Chloe is next to H3 (so H2 or H4). H2 is taken. So Chloe is H4.
5. Only House 5 is left for Lucy."
