ID,Question,A,B,C,D,E,Correct Answer,Explanation
M3L_01,The giant lived in a CAS.,ANT,EAT,TLE,ALE,TEN,C,The missing letters are TLE.
M3L_02,She put the flowers in the V.,ARE,ASE,AIL,ANT,ALE,B,The missing letters are ASE.
M3L_03,The doctor gave him a TAB.,LET,SUL,TIO,MAT,EAT,A,The missing letters are LET.
M3L_04,The teacher asked for QU.,AIL,OAT,IET,EEN,ART,C,The missing letters are IET.
M3L_05,He was feeling very HUN.,TED,GRY,DED,DRY,GRT,B,The missing letters are GRY.
M3L_06,They watched the television SCN.,REE,EAM,RUE,EEN,ANT,A,The missing letters are REE.
M3L_07,The boy kicked SS along the street.,LOG,HOE,CAN,TIN,ALE,B,The missing letters are HOE.
M3L_08,The doctor asked how she was FING today.,TIN,AIL,DEN,EEL,LAY,D,The missing letters are EEL.
M3L_09,They will be INNING the race soon.,RAT,OUT,TOP,BEG,HOW,D,The missing letters are BEG.
M3L_10,His hair looked NR after it was cut.,ICE,ATE,WIG,EAR,ASS,A,The missing letters are ICE.
M3L_11,Please wipe your feet on the CAT.,CAR,RPE,ARP,RAP,PET,B,The missing letters are RPE.
M3L_12,He ate a yellow BNA.,AND,NAN,ANA,ANN,ANT,C,The missing letters are ANA.
M3L_13,Open the bedroom WOW.,IND,AND,WIN,WIT,END,A,The missing letters are IND.
M3L_14,Write with a sharp PIL.,ILL,ENC,INC,CIL,PEN,B,The missing letters are ENC.
M3L_15,We went to the MET to buy food.,ARK,EAT,ARE,ARM,ART,A,The missing letters are ARK.
M3L_16,His FER is very tall.,HER,OTH,FAT,ATH,EAR,D,The missing letters are ATH.
M3L_17,Her MER is very kind.,ORE,THE,OTH,HER,EAR,C,The missing letters are OTH.
M3L_18,The lion is a wild ANL.,IMA,IMU,INE,ANI,MAL,A,The missing letters are IMA.
M3L_19,Go to see a DOR.,TOR,DOC,ACT,OAR,OCT,E,The missing letters are OCT.
M3L_20,The bus DER was late.,RIV,VER,ROV,IVE,RID,A,The missing letters are RIV.
M3L_21,She ate a juicy ORE.,ANT,AGE,RAN,AND,ANG,E,The missing letters are ANG.
M3L_22,The summer sun is YEW.,LOW,ELL,LLO,ALL,OWL,C,The missing letters are LLO.
M3L_23,She wore a PLE coat.,PUR,URE,URP,RUP,PER,C,The missing letters are URP.
M3L_24,He used a SIR spoon.,ERL,LVE,ILV,VER,LIV,B,The missing letters are LVE.
M3L_25,We go to SOL every day.,CHO,CHU,HOO,COO,OOL,A,The missing letters are CHO.
